nazwa,miasto,branza,kod
"""FORESTEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Kielce,Naprawa i konserwacja urządzeń elektronicznych i optycznych,"['33', '13', 'Z']"
"""FORESTEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Kielce,"Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych, gazowych i klimatyzacyjnych","['43', '22', 'Z']"
"""FORESTEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Kielce,Wykonywanie pozostałych instalacji budowlanych,"['43', '29', 'Z']"
"""FORESTEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Kielce,Wykonywanie pozostałych robót budowlanych wykończeniowych,"['43', '39', 'Z']"
"""FORESTEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Kielce,Sprzedaż hurtowa sprzętu elektronicznego i telekomunikacyjnego oraz części do niego,"['46', '52', 'Z']"
"""FORESTEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Kielce,Działalność związana z oprogramowaniem,"['62', '01', 'Z']"
"""FORESTEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Kielce,Działalność w zakresie inżynierii i związane z nią doradztwo techniczne,"['71', '12', 'Z']"
"""FORESTEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Kielce,Działalność ochroniarska w zakresie obsługi systemów bezpieczeństwa,"['80', '20', 'Z']"
"""FORESTEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI",Kielce,Działalność agentów zajmujących się sprzedażą towarów różnego rodzaju,"['46', '19', 'Z']"
"PRZEDSIĘBIORSTWO ROBÓT PODWODNYCH I HYDROTECHNICZNYCH ""MARINEX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Sopot,Roboty związane z budową obiektów inżynierii wodnej,"['42', '91', 'Z']"
"PRZEDSIĘBIORSTWO ROBÓT PODWODNYCH I HYDROTECHNICZNYCH ""MARINEX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Sopot,"Pozostałe specjalistyczne roboty budowlane, gdzie indziej niesklasyfikowane","['43', '99', 'Z']"
